epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2063.57,1.04348,1.79191,1.02642,1.19512,0,0.64939,0.64298,0.67665,0.4259,0.66868,0.63288,0.66913,0.34603,1.31063,3.234,1.26749,1.35892,0,0.000915875,0.000915875,0.000915875
29,2137.52,1.047,1.81709,1.03556,1.18788,0,0.58032,0.58959,0.58682,0.35636,0.58713,0.58498,0.56343,0.28171,1.4464,3.75724,1.41118,1.43433,0,0.0009035,0.0009035,0.0009035
30,2210.99,1.03374,1.76946,1.00341,1.17998,0,0.62898,0.63829,0.6381,0.38724,0.62985,0.63682,0.63099,0.29771,1.35267,3.09203,1.31198,1.39262,0,0.000891125,0.000891125,0.000891125
31,2283.84,1.02123,1.74621,0.97599,1.17842,0,0.69892,0.60555,0.65311,0.41969,0.66876,0.62141,0.63751,0.31778,1.38391,3.35273,1.26738,1.39783,0,0.00087875,0.00087875,0.00087875
32,2356.48,1.02188,1.75265,0.96959,1.1702,0,0.65166,0.58193,0.63514,0.39275,0.60866,0.5445,0.55395,0.28876,1.35438,3.31469,1.32552,1.41016,0,0.000866375,0.000866375,0.000866375
33,2429.82,1.01299,1.75426,0.96266,1.16329,0,0.71637,0.63225,0.68825,0.42735,0.73957,0.64461,0.6989,0.36753,1.26269,3.34546,1.18283,1.33308,0,0.000854,0.000854,0.000854
34,2501.68,1.00038,1.73829,0.96277,1.16069,0,0.72184,0.6405,0.66769,0.41949,0.72278,0.638,0.66258,0.33431,1.34703,3.54004,1.24395,1.35883,0,0.000841625,0.000841625,0.000841625
35,2572.97,1.02091,1.72701,0.95324,1.16926,0,0.66391,0.62761,0.66599,0.40773,0.67295,0.62487,0.65909,0.33379,1.36254,3.4237,1.18864,1.39152,0,0.00082925,0.00082925,0.00082925
36,2644.86,0.98422,1.71432,0.93233,1.151,0,0.66108,0.73022,0.70907,0.44474,0.66397,0.73244,0.71178,0.3801,1.28222,3.50213,1.10838,1.36375,0,0.000816875,0.000816875,0.000816875
37,2717.16,0.98666,1.68739,0.9189,1.15189,0,0.61387,0.66631,0.65708,0.40094,0.61189,0.66733,0.65844,0.34633,1.36151,3.36128,1.18955,1.38378,0,0.0008045,0.0008045,0.0008045
