epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3267.29,1.05976,1.82463,1.063,1.20271,0,0.58315,0.67927,0.64069,0.38684,0.58612,0.67777,0.63197,0.315,1.37525,2.07866,1.31613,1.37538,0,0.0007327,0.0007327,0.0007327
29,3355.84,1.07627,1.86495,1.09066,1.21003,0,0.69376,0.67106,0.70706,0.43027,0.71303,0.65431,0.7093,0.35534,1.29777,2.53309,1.19368,1.35473,0,0.0007228,0.0007228,0.0007228
30,3445.33,1.03145,1.79319,1.03411,1.17884,0,0.63725,0.68833,0.64588,0.39168,0.65278,0.66428,0.62653,0.31635,1.29533,2.47674,1.23202,1.33338,0,0.0007129,0.0007129,0.0007129
31,3534.74,1.06727,1.8078,1.03955,1.20556,0,0.69391,0.69015,0.70775,0.43223,0.69923,0.6972,0.70847,0.36854,1.3243,2.38026,1.20204,1.35188,0,0.000703,0.000703,0.000703
32,3622.05,1.03444,1.78495,1.02092,1.1856,0,0.69461,0.67562,0.67992,0.41713,0.72214,0.69737,0.69846,0.33533,1.28661,2.59164,1.16383,1.34291,0,0.0006931,0.0006931,0.0006931
33,3709.44,1.02828,1.77344,1.01801,1.19,0,0.69876,0.63803,0.66505,0.40674,0.71225,0.65152,0.6688,0.33937,1.29681,2.02504,1.26351,1.35482,0,0.0006832,0.0006832,0.0006832
34,3797.36,1.03644,1.77298,1.02777,1.18086,0,0.6406,0.7106,0.69249,0.42854,0.6756,0.70616,0.68515,0.35086,1.28154,1.78806,1.18906,1.34023,0,0.0006733,0.0006733,0.0006733
35,3885.94,1.03485,1.75325,1.01634,1.18409,0,0.74834,0.67835,0.72511,0.46386,0.74905,0.68284,0.71451,0.3739,1.26592,1.83077,1.13804,1.34534,0,0.0006634,0.0006634,0.0006634
36,3973.13,1.00514,1.7668,0.98879,1.17145,0,0.71962,0.66579,0.68777,0.42966,0.71637,0.66395,0.68735,0.3593,1.28618,2.18202,1.15062,1.32338,0,0.0006535,0.0006535,0.0006535
37,4060.53,1.02718,1.73977,0.99414,1.17766,0,0.72343,0.66238,0.7051,0.43321,0.71272,0.67913,0.69317,0.35473,1.2935,2.60757,1.15413,1.34074,0,0.0006436,0.0006436,0.0006436
38,4148.71,1.01547,1.75434,0.97085,1.16704,0,0.67758,0.68226,0.70379,0.43807,0.70276,0.68936,0.70966,0.37445,1.26578,2.27933,1.13456,1.34189,0,0.0006337,0.0006337,0.0006337
39,4237.65,1.00101,1.70249,0.96031,1.16665,0,0.73474,0.63068,0.67316,0.42431,0.75778,0.65256,0.69961,0.34614,1.28304,2.81961,1.13708,1.34797,0,0.0006238,0.0006238,0.0006238
40,4325.75,0.98588,1.71832,0.95372,1.15726,0,0.71584,0.67982,0.70726,0.44508,0.71468,0.68113,0.70991,0.36952,1.26936,2.45348,1.10911,1.34885,0,0.0006139,0.0006139,0.0006139
41,4412.58,1.01675,1.7221,0.95668,1.17527,0,0.69848,0.69688,0.71536,0.45723,0.70666,0.70552,0.71156,0.3774,1.26392,2.13453,1.11699,1.31357,0,0.000604,0.000604,0.000604
42,4500.69,0.99521,1.7338,0.95138,1.15968,0,0.71367,0.73027,0.74186,0.46709,0.70161,0.72455,0.72473,0.38412,1.27299,1.96175,1.10072,1.32777,0,0.0005941,0.0005941,0.0005941
